Year,Technique
2015,NB
2015,kNN
2015,kNN
2015,kNN
2015,Classification Tree
2015,Logistic Regression
2015,NB
2015,Regression
2015,kNN
2015,kNN
2015,Classification Tree
2015,Classification Tree
2015,kNN
2015,Regression
2015,NB
2015,NB
2015,kNN
2015,Classification Tree
2015,Classification Tree
2015,Classification Tree
2015,Classification Tree
2015,Classification Tree
2015,Logistic Regression
2015,NB
2015,Logistic Regression
2015,Classification Tree
2015,NB
2015,Classification Tree
2015,kNN
2016,Classification Tree
2016,Classification Tree
2016,Logistic Regression
2016,kNN
2016,Classification Tree
2016,Classification Tree
2016,Classification Tree
2016,Cluster Analysis
2016,Classification Tree
2016,Cluster Analysis
2016,NB
2016,Classification Tree
2016,Association Rules
2016,Cluster Analysis
2016,NB
2016,NB
2016,Classification Tree
2016,Logistic Regression
2016,Classification Tree
2016,NB
2016,NB
2016,kNN
2016,NB
2016,NB
2016,Classification Tree
2016,Classification Tree
2017,Logistic Regression
2017,Cluster Analysis
2017,Classification Tree
2017,Classification Tree
2017,Cluster Analysis
2017,Association Rules
2017,Logistic Regression
2017,NB
2017,kNN
2017,Classification Tree
2017,Classification Tree
2017,Association Rules
2017,NB
2017,NB
2017,Classification Tree
2017,NB
2017,Classification Tree
2017,Logistic Regression
2017,Classification Tree
2017,NB
2017,NB
2017,NB
2017,Classification Tree
2017,Classification Tree
2017,Classification Tree
2017,Logistic Regression
2018,Classification Tree
2018,Classification Tree
2018,kNN
2018,Classification Tree
2018,Regression
2018,Classification Tree
2018,Regression
2018,NB
2018,Classification Tree
2018,Association Rules
2018,NB
2018,Classification Tree
2018,Classification Tree
2018,Classification Tree
2018,Classification Tree
2018,NB
2018,kNN
2018,Classification Tree
2018,Classification Tree
2018,NB
2018,NB
2018,Cluster Analysis
2018,Logistic Regression
2018,Classification Tree
2018,NB
2018,Classification Tree
2018,Classification Tree
2018,Classification Tree
2018,Association Rules
2018,Logistic Regression
2018,Association Rules
2018,Logistic Regression
2018,NB
2018,Association Rules
2018,Logistic Regression
2018,Classification Tree
2018,Regression
2018,Classification Tree
2018,Association Rules
2018,Classification Tree
2018,kNN
2018,NB
2018,Classification Tree
2018,Classification Tree
2018,Classification Tree
2018,NB
2018,Cluster Analysis
2018,Classification Tree
2018,Classification Tree
2018,Association Rules
2018,Regression
2018,Logistic Regression
2018,kNN
2018,Logistic Regression
2018,kNN
